Iteration;Time (ms);Fitness;Prio0;Prio1;Total
153;3943.5347;0.786141356;345;730;1075
154;3982.1861;0.795833596;349;745;1094
155;3965.9323;0.775882686;338;734;1072
156;4026.392;0.78960287;344;744;1088
157;3899.702;0.782302222;343;725;1068
158;4028.2325;0.790106363;346;747;1093
159;4089.0041;0.783372144;345;752;1097
160;4038.9715;0.797155265;345;745;1090
161;1413.4289;0.493674869;216;477;693
162;3967.4899;0.790609856;342;737;1079
163;3937.8071;0.776134433;334;738;1072
164;4015.3946;0.800994399;351;739;1090
165;3883.8715;0.790421046;342;724;1066
166;1443.7223;0.480458179;205;485;690
167;3999.7711;0.786896595;341;748;1089
168;4046.9361;0.797784631;344;750;1094
169;4017.5606;0.795644786;344;747;1091
170;4115.4789;0.796714708;344;757;1101
171;3866.5716;0.772295299;336;733;1069
172;3938.1805;0.786581912;339;741;1080
173;3951.0251;0.796148279;344;738;1082
174;4027.8879;0.788721757;346;743;1089
175;1438.6529;0.489017559;208;490;698
176;4069.2003;0.797469948;345;753;1098
177;3840.2232;0.781421109;336;739;1075
178;4037.2634;0.802316068;349;741;1090
179;4076.1441;0.794197243;347;744;1091
180;3981.9795;0.785511989;341;743;1084
181;3902.0998;0.791616842;341;735;1076
182;3950.4752;0.786456039;341;742;1083
183;4009.6698;0.800113286;345;738;1083
184;3928.6547;0.7946378;342;735;1077
185;4052.4623;0.791239222;343;757;1100
186;3891.825;0.785260243;340;736;1076
187;1369.6851;0.557996098;243;496;739
188;3998.6974;0.781987539;340;757;1097
189;3836.763;0.784442067;344;709;1053
190;4019.9345;0.786959532;342;746;1088
191;4052.514;0.797973441;348;751;1099
192;3993.0244;0.789539933;340;757;1097
193;3928.6646;0.792435018;342;739;1081
194;3790.8276;0.767260369;330;741;1071
195;4006.6282;0.790735729;346;740;1086
196;3981.4609;0.78884763;342;748;1090
197;3874.6359;0.78475675;342;731;1073
198;4003.2257;0.786896595;342;751;1093
199;3852.2404;0.787022468;339;728;1067
200;3995.5377;0.791050412;345;746;1091
201;4016.0564;0.792875574;343;752;1095
202;3922.1984;0.786456039;341;737;1078
203;3882.0165;0.787022468;341;730;1071
204;3874.5872;0.7793442;337;731;1068
205;3901.8848;0.787525961;342;738;1080
206;3898.859;0.796400025;350;735;1085
207;3908.3371;0.789288187;340;730;1070
208;4062.8489;0.796337089;346;750;1096
209;4032.6508;0.806469885;353;732;1085
210;3936.583;0.789162314;343;740;1083
211;3845.531;0.774435144;340;739;1079
212;3969.7998;0.798162251;345;749;1094
213;3916.8592;0.800427969;350;734;1084
214;3856.0569;0.777015545;337;743;1080
215;3798.1665;0.764428221;327;734;1061
216;3934.0326;0.795644786;342;742;1084
217;3964.1007;0.771540059;328;759;1087
218;3857.686;0.781735792;338;741;1079
219;3982.0266;0.77544213;337;759;1096
220;3946.7967;0.801246145;345;741;1086
221;1392.5968;0.490402165;208;480;688
222;3935.5934;0.795141293;342;751;1093
223;3824.6533;0.779407137;337;731;1068
224;3866.2892;0.77972182;337;747;1084
225;3802.2913;0.780162376;336;737;1073
226;3923.5983;0.792812638;344;747;1091
227;3991.7111;0.78979168;341;747;1088
228;3938.5769;0.75568003;326;755;1081
229;4023.78;0.805714645;348;742;1090
230;3910.2444;0.797344075;342;737;1079
231;3956.6522;0.782805715;338;744;1082
232;3858.649;0.78513437;340;730;1070
233;4002.2737;0.777959595;338;740;1078
234;3930.1353;0.787085405;341;743;1084
235;3877.7709;0.783812701;338;748;1086
236;4067.6315;0.816476808;354;749;1103
237;3895.3225;0.786518975;342;733;1075
238;3930.7403;0.780980553;338;751;1089
239;3919.5665;0.77953301;337;735;1072
240;3889.2587;0.780728806;339;737;1076
241;3957.3515;0.785952546;342;740;1082
242;3835.9667;0.783560954;343;735;1078
243;3814.3405;0.778903644;336;724;1060
244;3870.6455;0.786959532;342;737;1079
245;4014.5705;0.785574926;341;746;1087
246;3984.8156;0.783372144;336;752;1088
247;3780.7128;0.773994587;336;733;1069
248;3944.3052;0.79369375;346;739;1085
249;3935.632;0.779281264;341;740;1081
250;3959.1798;0.781421109;335;747;1082
251;4091.6267;0.800616779;346;760;1106
252;4064.8106;0.791428032;341;748;1089
253;3939.6234;0.801183209;346;736;1082
254;3977.7615;0.794889546;348;748;1096
255;4033.3539;0.798413997;343;745;1088
256;3920.932;0.784064447;338;741;1079
257;4121.6295;0.792812638;343;756;1099
258;4012.0385;0.796462962;345;745;1090
259;3956.0201;0.795518912;346;735;1081
260;3835.0533;0.773176411;336;727;1063
261;3951.8303;0.795707722;349;731;1080
262;4101.0196;0.800490906;345;746;1091
263;4018.1854;0.801749638;345;761;1106
264;3901.4847;0.779029517;331;750;1081
265;3953.229;0.794197243;345;739;1084
266;4022.9441;0.790232236;346;737;1083
267;4076.5272;0.801372018;347;751;1098
268;3852.0891;0.774938637;334;737;1071
269;3909.1997;0.77525332;334;735;1069
270;3952.4247;0.786896595;339;750;1089
271;3901.909;0.782302222;335;742;1077
272;4004.8485;0.804770596;349;740;1089
273;3983.7505;0.798854553;344;742;1086
274;1403.9138;0.559128957;241;495;736
275;1390.853;0.531814463;232;491;723
276;1374.14;0.468940777;199;475;674
277;3974.7397;0.778588961;335;750;1085
278;3911.423;0.782239285;338;740;1078
279;4002.307;0.77991063;337;757;1094
280;3950.2315;0.786078419;340;739;1079
281;3998.3461;0.791868588;340;739;1079
282;4085.4216;0.788721757;341;751;1092
283;4013.3582;0.789665807;341;742;1083
284;3991.6113;0.787022468;342;746;1088
285;4042.4108;0.789099377;344;744;1088
286;1397.3345;0.484171439;206;480;686
287;3906.4088;0.787400088;340;737;1077
288;4012.2243;0.781169362;338;749;1087
289;4016.2581;0.79369375;343;742;1085
290;4029.8426;0.780917616;337;756;1093
291;4064.6722;0.802567814;345;763;1108
292;4038.4831;0.783623891;338;743;1081
293;3974.9312;0.788470011;341;742;1083
294;3928.2467;0.76965196;335;748;1083
295;4017.2155;0.786330166;339;750;1089
296;3970.2421;0.781546982;340;745;1085
297;3952.0483;0.786015482;342;737;1079
298;4004.8524;0.790672792;344;743;1087
299;4026.986;0.79891749;346;750;1096
300;4011.3317;0.788344137;343;750;1093
301;4001.1065;0.798602807;345;750;1095
302;3969.7965;0.782679841;339;744;1083
303;4040.0789;0.795393039;341;756;1097
304;4002.9615;0.786267229;341;743;1084
305;3918.3757;0.776700862;334;745;1079
306;3963.6122;0.788658821;342;749;1091
307;4037.807;0.791553905;342;754;1096
308;3976.4341;0.783498017;338;754;1092
309;4037.9682;0.794511926;346;742;1088
310;3969.0146;0.78028825;338;751;1089
311;3984.1698;0.797658758;345;743;1088
312;4005.7254;0.775505066;337;744;1081
313;3979.3927;0.788470011;340;744;1084
314;4005.7949;0.785071433;338;755;1093
315;3975.0639;0.787085405;341;744;1085
316;4050.6452;0.801875511;347;742;1089
317;3982.1003;0.778903644;333;749;1082
318;3978.98;0.784819687;339;749;1088
319;3957.4732;0.777581975;335;742;1077
320;3985.8882;0.801057335;347;741;1088
321;1367.2662;0.471206495;201;479;680
322;3994.668;0.793064384;345;746;1091
323;4058.81;0.79891749;347;758;1105
324;3974.3818;0.779029517;333;756;1089
325;4107.1608;0.801812575;349;758;1107
326;1449.3895;0.484486122;209;485;694
327;4005.8688;0.785449053;340;741;1081
328;3976.8289;0.77581975;335;748;1083
329;4036.715;0.800239159;347;747;1094
330;4010.1739;0.782239285;338;747;1085
331;3992.4227;0.782868651;338;744;1082
332;3973.3712;0.783498017;340;741;1081
333;4019.9643;0.7901693;341;745;1086
334;4009.4474;0.77059601;333;754;1087
335;3962.3058;0.797721694;346;744;1090
336;3935.0323;0.780665869;342;740;1082
337;3910.6913;0.761155516;330;744;1074
338;1382.9532;0.477248411;204;485;689
339;4081.2881;0.79426018;345;758;1103
340;4108.5902;0.787651835;340;749;1089
341;3980.5591;0.778588961;338;747;1085
342;3919.2746;0.782553968;341;743;1084
343;3937.7267;0.786204292;343;741;1084
344;4068.2341;0.791742715;343;751;1094
345;4016.0281;0.79444899;346;745;1091
346;3997.5077;0.796525898;348;745;1093
347;3796.8648;0.776637926;338;733;1071
348;4002.5887;0.783875637;339;743;1082
349;3939.5828;0.782553968;340;744;1084
350;3948.7107;0.785197306;335;749;1084
351;4015.6533;0.783183334;340;757;1097
352;3969.6302;0.787714771;343;740;1083
353;4079.4987;0.786078419;341;749;1090
354;3935.3876;0.78979168;344;742;1086
355;4058.7601;0.796588835;346;751;1097
356;4038.7854;0.791616842;342;748;1090
357;4007.7533;0.788658821;340;751;1091
358;3943.4685;0.773176411;338;744;1082
359;3982.3932;0.78047706;343;739;1082
360;4000.7699;0.789728743;343;748;1091
361;3959.7603;0.781798729;338;749;1087
362;1368.5485;0.531877399;232;500;732
363;3946.0016;0.778966581;341;745;1086
364;3857.919;0.778274278;335;741;1076
365;3971.0352;0.790735729;342;742;1084
366;1413.7268;0.558436654;241;504;745
367;4093.1278;0.79388256;347;763;1110
368;4027.4751;0.788910567;343;755;1098
369;3992.0513;0.774372207;333;743;1076
370;4007.5869;0.79872868;347;749;1096
371;3993.5245;0.776071496;341;743;1084
372;1403.8597;0.469381333;202;484;686
373;4078.3005;0.782931588;342;763;1105
374;4047.364;0.782302222;338;750;1088
375;3857.8198;0.78475675;344;729;1073
376;3923.2387;0.782491032;339;738;1077
377;4036.3702;0.785449053;343;753;1096
378;1427.9501;0.56001007;248;502;750
379;3981.3666;0.801749638;349;745;1094
380;3976.6839;0.791616842;344;747;1091
381;3954.8681;0.784442067;342;744;1086
382;4075.5281;0.797532884;349;751;1100
383;3998.4821;0.795015419;349;743;1092
384;3933.5382;0.785826673;342;741;1083
385;4075.8399;0.797721694;348;759;1107
386;3993.0248;0.785071433;342;749;1091
387;4057.8249;0.791805652;347;753;1100
388;4042.4361;0.790735729;347;754;1101
389;4089.1694;0.806910441;353;749;1102
390;3987.6487;0.780414123;343;749;1092
391;3995.8064;0.781924602;342;746;1088
392;4101.9653;0.787714771;342;755;1097
393;4094.8308;0.8035748;353;754;1107
394;3979.0438;0.777204355;342;750;1092
395;4038.2972;0.811316005;355;743;1098
396;4023.5299;0.789665807;343;750;1093
397;4019.0784;0.797469948;347;750;1097
398;4031.4645;0.787211278;343;751;1094
399;3994.4886;0.792623828;345;744;1089
400;4042.0176;0.795959469;345;751;1096
401;4105.7202;0.800365032;350;744;1094
402;4105.1181;0.801372018;349;744;1093
403;4085.125;0.794323117;349;754;1103
404;4072.8064;0.78532318;344;739;1083
405;4121.4116;0.801183209;351;764;1115
406;4116.7736;0.796903518;351;756;1107
407;4140.956;0.803008371;352;751;1103
408;4037.2695;0.781798729;343;756;1099
409;3988.6528;0.795393039;344;747;1091
410;3951.1539;0.782868651;340;744;1084
411;4180.2721;0.791302159;346;748;1094
412;3946.4166;0.788595884;347;734;1081
413;3983.283;0.773868714;338;748;1086
414;4001.9074;0.797218201;347;754;1101
415;4021.1497;0.789288187;342;754;1096
416;3938.272;0.773302285;337;753;1090
417;3928.2851;0.792560891;346;751;1097
418;3933.8177;0.797155265;346;737;1083
419;4022.7291;0.793316131;342;750;1092
420;4001.5693;0.790421046;345;748;1093
421;4128.8921;0.808546793;350;750;1100
422;4022.179;0.797155265;352;737;1089
423;4016.446;0.790483983;344;746;1090
424;3995.3652;0.789665807;346;743;1089
425;4013.3871;0.782868651;342;752;1094
426;4067.8378;0.795330103;350;739;1089
427;4021.9149;0.787274215;338;754;1092
428;4058.2805;0.791176285;345;756;1101
429;4001.1175;0.798980427;349;743;1092
430;4003.6384;0.789288187;344;754;1098
431;4004.4672;0.789665807;343;750;1093
432;4069.4105;0.790735729;345;759;1104
433;3974.0315;0.795959469;345;752;1097
434;3963.5423;0.785826673;341;746;1087
435;4064.3756;0.787085405;346;746;1092
436;4033.8544;0.792938511;348;737;1085
437;1429.0107;0.487318271;208;479;687
438;3961.6301;0.785574926;342;740;1082
439;4092.0574;0.796211215;347;757;1104
440;4046.9447;0.800994399;348;755;1103
441;4118.2857;0.798099314;353;751;1104
442;3939.807;0.793001448;343;734;1077
443;4006.0269;0.789728743;342;756;1098
444;3910.9827;0.772232362;333;737;1070
445;4000.9291;0.791679778;347;750;1097
446;4029.8714;0.79369375;348;747;1095
447;4028.4723;0.788344137;344;744;1088
448;4143.5581;0.802441941;351;755;1106
449;3979.0653;0.770533073;333;751;1084
450;3980.6471;0.781232299;338;745;1083
451;3960.1587;0.784630877;345;743;1088
452;3935.4137;0.794197243;342;743;1085
453;4080.6262;0.802064321;353;752;1105
454;1375.8233;0.548870288;240;496;736
455;3948.9743;0.769211404;336;739;1075
456;3982.6139;0.772484109;338;748;1086
457;3966.704;0.779658884;343;743;1086
458;4004.3284;0.772735855;335;750;1085
459;4007.3979;0.778400151;337;756;1093
460;3992.6157;0.762665995;332;753;1085
461;4051.983;0.791365095;343;752;1095
462;4226.4758;0.788595884;344;758;1102
463;4094.7226;0.798036377;348;752;1100
464;4010.2019;0.790609856;343;740;1083
465;3948.4919;0.786393102;344;732;1076
466;4062.8008;0.815721568;358;746;1104
467;4099.2817;0.781421109;338;756;1094
468;3892.4726;0.791490969;347;724;1071
469;3990.8118;0.777833721;339;753;1092
470;4029.643301;0.794574863;347;746;1093
471;4025.428199;0.790232236;347;748;1095
472;3998.0882;0.795959469;348;749;1097
473;4102.269899;0.788973504;342;751;1093
474;3942.6294;0.777078482;339;745;1084
475;4105.368;0.795204229;346;756;1102
476;1395.474501;0.470765939;202;482;684
477;4054.938301;0.801812575;345;746;1091
478;3969.8885;0.777204355;338;748;1086
479;3953.4139;0.787840644;340;743;1083
480;3989.7928;0.779407137;339;759;1098
481;4025.451399;0.796966455;343;749;1092
482;4008.1152;0.787400088;340;754;1094
483;3951.5386;0.795455976;349;745;1094
484;4027.148601;0.780539996;339;759;1098
485;4032.7094;0.785952546;338;756;1094
486;3981.2065;0.781672855;341;744;1085
487;3983.3084;0.793630814;341;747;1088
488;4030.8649;0.788407074;342;747;1089
489;4075.163501;0.785511989;342;757;1099
490;3992.464299;0.777078482;339;757;1096
491;3966.4358;0.795393039;341;747;1088
492;4156.6843;0.788595884;344;766;1110
493;4047.789699;0.804707659;350;750;1100
494;3812.4132;0.752155579;328;748;1076
495;3933.3084;0.774183397;334;742;1076
496;3923.2451;0.796274152;343;738;1081
497;4172.1224;0.804581786;350;768;1118
498;4042.5569;0.785386116;341;750;1091
499;4022.5768;0.801246145;346;748;1094
500;3987.2706;0.787651835;342;749;1091
