Iteration;Time;Fitness;Prio0;Prio1;Total
0.0;110.5085;0.6592683929305388;84.0;177.0;261.0
1.0;79.4415;0.6235100698725857;79.0;177.0;256.0
2.0;73.1383;0.707768187422935;92.0;178.0;270.0
3.0;63.4696;0.6385121249486236;83.0;177.0;260.0
4.0;65.2619;0.6611179613645709;86.0;178.0;264.0
5.0;67.4246;0.6701602959309498;83.0;185.0;268.0
6.0;72.1161;0.7174270448006579;93.0;176.0;269.0
7.0;75.9044;0.7285244554048503;92.0;184.0;276.0
8.0;66.5228;0.6804356761200168;88.0;175.0;263.0
9.0;69.7776;0.6878339498561451;87.0;178.0;265.0
10.0;68.219;0.6405672009864372;81.0;181.0;262.0
11.0;70.5782;0.6923551171393346;90.0;172.0;262.0
12.0;71.1691;0.6911220715166465;89.0;176.0;265.0
13.0;70.9187;0.6925606247431157;90.0;178.0;268.0
14.0;72.0641;0.6878339498561451;90.0;176.0;266.0
15.0;76.0125;0.7353062063296345;96.0;182.0;278.0
16.0;69.0467;0.694410193177148;91.0;178.0;269.0
17.0;70.3667;0.7252363337443487;92.0;175.0;267.0
18.0;65.7398;0.6851623510069875;90.0;175.0;265.0
19.0;65.4228;0.6876284422523635;89.0;173.0;262.0
20.0;68.999;0.7217427044800663;93.0;173.0;266.0
21.0;71.2119;0.7558569667077685;98.0;173.0;271.0
22.0;73.3384;0.7447595561035762;98.0;176.0;274.0
23.0;67.0663;0.7011919441019321;90.0;178.0;268.0
24.0;63.9524;0.6726263871763258;89.0;177.0;266.0
25.0;66.3273;0.691327579120428;92.0;173.0;265.0
26.0;66.6983;0.7196876284422528;94.0;173.0;267.0
27.0;73.79;0.7525688450472673;98.0;174.0;272.0
28.0;68.7506;0.7227702424989729;91.0;178.0;269.0
29.0;71.5138;0.7441430332922321;96.0;172.0;268.0
30.0;65.9146;0.707151664611591;90.0;169.0;259.0
31.0;68.4328;0.7402383888203868;98.0;169.0;267.0
32.0;66.4269;0.7131113851212498;92.0;170.0;262.0
33.0;68.0996;0.730168516235101;95.0;175.0;270.0
34.0;68.2317;0.7225647348951916;95.0;177.0;272.0
35.0;65.7386;0.689066995478833;89.0;184.0;273.0
36.0;70.7942;0.7507192766132351;98.0;171.0;269.0
37.0;76.3904;0.7521578298397044;95.0;178.0;273.0
38.0;73.0929;0.7542129058775179;97.0;174.0;271.0
39.0;67.8357;0.7433210028771068;95.0;172.0;267.0
40.0;67.6896;0.6929716399506787;92.0;173.0;265.0
41.0;65.95;0.712494862309906;92.0;171.0;263.0
42.0;69.4338;0.7254418413481303;93.0;177.0;270.0
43.0;70.2734;0.7515413070283603;100.0;174.0;274.0
44.0;66.244;0.703452527743527;90.0;174.0;264.0
45.0;69.0057;0.7433210028771068;98.0;170.0;268.0
46.0;66.9172;0.725852856555693;93.0;181.0;274.0
47.0;65.1376;0.6835182901767368;87.0;173.0;260.0
48.0;67.2695;0.7353062063296345;95.0;172.0;267.0
49.0;68.3786;0.7215371968762847;96.0;172.0;268.0
50.0;67.2969;0.7219482120838475;92.0;170.0;262.0
51.0;69.0919;0.7564734895191124;97.0;172.0;269.0
52.0;72.0992;0.7644882860665849;100.0;168.0;268.0
53.0;67.7503;0.7449650637073576;94.0;175.0;269.0
54.0;65.7424;0.7166050143855326;93.0;174.0;267.0
55.0;66.2526;0.6979038224414308;92.0;174.0;266.0
56.0;68.1088;0.7110563090834363;91.0;173.0;264.0
57.0;67.2859;0.7231812577065355;91.0;174.0;265.0
58.0;68.9794;0.7453760789149202;96.0;174.0;270.0
59.0;72.9755;0.7439375256884507;96.0;177.0;273.0
60.0;69.842;0.7394163584052614;97.0;170.0;267.0
61.0;60.0972;0.6759145088368274;85.0;176.0;261.0
62.0;68.2932;0.7334566378956023;95.0;177.0;272.0
63.0;71.6377;0.7291409782161943;92.0;173.0;265.0
64.0;67.0445;0.7127003699136872;92.0;169.0;261.0
65.0;69.2763;0.72235922729141;96.0;174.0;270.0
66.0;65.1788;0.6960542540073985;87.0;180.0;267.0
67.0;67.25;0.7143444307439377;93.0;171.0;264.0
68.0;62.1037;0.6652281134401978;85.0;177.0;262.0
69.0;66.8476;0.7227702424989727;94.0;169.0;263.0
70.0;69.9685;0.7480476777640775;96.0;172.0;268.0
71.0;71.0492;0.7692149609535558;99.0;167.0;266.0
72.0;68.2458;0.7406494040279493;95.0;171.0;266.0
73.0;76.289;0.7842170160295934;99.0;176.0;275.0
74.0;70.0159;0.7607891491985208;96.0;175.0;271.0
75.0;69.6036;0.7470201397451708;96.0;170.0;266.0
76.0;69.0581;0.7535963830661737;98.0;172.0;270.0
77.0;69.8324;0.7620221948212087;99.0;172.0;271.0
78.0;67.1945;0.7560624743115496;96.0;171.0;267.0
79.0;71.5743;0.7612001644060835;97.0;173.0;270.0
80.0;71.7341;0.7256473489519115;96.0;171.0;267.0
81.0;69.0363;0.7396218660090427;95.0;171.0;266.0
82.0;71.9851;0.7431154952733255;95.0;173.0;268.0
83.0;67.3662;0.7053020961775588;90.0;174.0;264.0
84.0;69.05;0.7507192766132349;96.0;173.0;269.0
